,Steam_Id,Name,Description,Copies_Sold
12,1989080,Twogether: Project Indigos Soundtrack,Original soundtrack of Twogether: Project Indigos performed by Javier Gordo. The soundtrack includes the 8 tracks heard during the game.,
13,1989090,Summer Photo Album,"Game Introduction:My neighbor, Xiao Xia, has a problem with her computer. She is very helpless. Repairing a computer is something you can't refuse, right?I can only go to help her repair it early in the morning. It is not an easy thing to repair a girl's computer.Especially to help repair the photo album. . . Will you accidentally see some weird pictures?This is a short game, mainly to show CG, and there will be continuously updated photo albums to experience Xiaoxia's life and happiness together.Note: Hello gentlemen friends, I'm sorry that there is no mystery code in this game (although it looks like it does),Although the process is short, the CG album will be updated frequently as planned.Game Features:Interact novels, read plots, talk to characters and choose branches.Rich level content, 5 levels, each level will be different.Beautiful art characters, a lot of beautiful pictures, and constantly updated.Important: This is an indie game for showcasing illustrations, so the gameplay is not high.",198
14,1989100,Tomb Defender,"In tomb defender, you control an ancient tomb in threat from tomb raiders. You have full control over the tomb, you can adjust the layout and built traps to stop the raiders.Build UpTomb defender gives you full control over the level. You can change the default tomb layout from scratch with simple controls. Each individual tile adjusts its appearance depending on its position. Quickly building a nice-looking tomb is a breeze with these smart tiles.Raise walls or make floors, make it as hard and long as possible to get to the treasure and back again. Have plenty of corridors to break up the raiders into smaller groups or make it through a deadly tough round trip.Set TrapsSpears, poisoned darts or burning brimstone, trap your tomb with a variety of traps to stop the looters. Traps can be placed in any wall or ground, giving you no limitations in your strategic planning. Make your enemies bleed, burn, poison and curse by placing your traps cleverly and letting the attackers run past as many as possible.GOLet the raiders come, every enemy defeated and every round beaten gives you more resources. Adjust your layout and trap placement against more raiders, just make sure they don't make it to your treasure and back with them. To challenge your skills, you can choose set missions with increasing difficulty or choose a sandbox mode.",15
15,1989110,King of Kalimpong,"You're a fast-moving minivan with a projectile weapon in this Online Multiplayer PvP Battle Arena. Shoot rocks at your friends and capture their crown. Boost, jump, dodge, and flip to survive. Block projectiles with well-timed kicks, and smash other vehicles to bits when they get in your way.ShootDestroy enemy vehicles with well-timed rocks and missiles. SmashKick, boost, and ground stomp other vehicles to pieces.MoveChain vertical and lateral movement together to slip by enemy projectiles, move while airborne, and improve your position while dueling.BlockBlock enemy projectiles with a well-timed roundhouse kick.CaptureSteal the enemy crown and bring it home to score.Features:Online Multiplayer play 5v5 PvP Capture the Crown matches with your friendsShoot rocks and missiles to destroy other vehiclesKick other vehicles to pieces with melee attacksBoost to launch your vehicle forwardFlip into the air and line up a ground stomp attackDodge left or right to evade incoming enemy projectilesBlock and parry incoming enemy projectilesDrive, jump, bounce, and roll your fast-moving minivan across beautiful landscapesSteal the other team's crown and capture it to win",0
16,1989120,Bubblegum Galaxy,"From the creators of Teacup, Bubblegum Galaxy is a cozy narrative building game about rebuilding the galaxy by designing planets. Relax as you create colorful planets or spend hours trying to get a perfect score!BECOME A PLANET ARCHITECTYour small but trusty computer will allow you to design planets by placing tiles. To create efficient planets, the software will suggest missions such as connecting similarly colored tiles or a specific number of trees. Each planet has its own quirks and special rules you will have to master to do your best work yet!BEFRIEND YOUR CO-WORKERSIn-between planet designing sessions, you'll be free to roam the office, inspect your surroundings and chat with your co-workers. Encounter hundreds of unique story events as you get to know this quirky cast of characters.DISCOVER WHO DELETED THE GALAXYThe day you started your internship the inter-dimensional universe server crashed for ""unknown reasons"", deleting the entirety of the Bubblegum galaxy. If you prove your skill as a planet architect you just might find out the truth behind why the galaxy was deleted...",0
17,1989130,The Otherwilde,"Early Access - Pre-Alpha open PlaytestWelcome to The Otherwilde.Enjoy a slow paced amble through a gorgeous world of photorealistic natural assets!This is not a survival game, and there's no leveling, so you'll need to craft to make your way through the world. It's fairly chill, but bosses will be added later, and you do have to watch out for the wolves... and a few other things. A robust crafting system is ready for you. You'll need to gather herbs to create potions, gather materials such as wood, stone, and iron, and build crafting stations. Not every tree is harvestable, not every rock is minable, and herbs are hard to find, so you'll have to learn where to find resources. You'll be able to build bases with incredible medieval assets (Wood for now, but we have plans! It's also clunky for the moment and very much in progress, but it will be amazing.). As you gather herbs and mushrooms, you may find seeds, ready for the complete and integrated farming system. Interact with unexpected NPCs, and hunt wild animals for rare components. Sell your goods to a village trader, and buy unusual things. Find your way to the center of the maze to find treasure! Look for the hidden chests in the Alder Grove, and make your way through the Fen to find the Witches.Whether you prefer cute villages, spooky swamps, or brushy alder groves full of natural resources, you'll find something to your taste.  As you explore, you'll find that most of the world is covered in grasslands or fantastic pine forests, but several areas have been finished with hand placed assets and detailed resources.There is a complete TUTORIAL level available from the main menu that shows every asset and harvestable item in the game. Please note that this game is in the EARLY ALPHA stage of development. It is completely playable, but only three sections have been completely added to the main map. There's plenty of stuff in the works, stay tuned for all the exciting updates!Explore! Build! Farm! Conquer!Looking forward to your feedback and enjoyment of The Otherwilde.NOTE: Prices will increase with each significant update/upgrade to game content.",560
18,1989140,Tower of Spirit,"Explore mysterious lands, meet and recruit new characters, face many dangers and try to reach the Tower of Spirit!As you progress in a run, you will face a series of random encounters. There are different types of encounters: combat, discovery, and bonfire. Each offers unique challenges and rewards. When you reach a bonfire, you will have the opportunity to add a new character to your party and increase your chances to go further on the road.Dynamic Group BuildingUnlock and recruit new characters, each with their own unique combat style and capacities to master. Gather the others along the way and try new synergies as your team grow! Every attempt is unique as you face new encounters, enemies,  and discoveries. No run will ever exactly be the same!Powerful Emblems to CollectThose relics grant a variety of bonuses and abilities. More than 30 unique emblems can be found! The more emblems you collect, the more their effects combine, the more powerful some of those combinations might be but keep in mind you cannot equip them all! Choose wisely and adapt your strategy accordingly.Old-school 2d AnimationTower of Spirit is full of cute-looking, weird characters and monsters! Everything is hand-drawn and animated by hand in an old fashion 2D style.Special Partner",456
19,1989150,Thread,"A puppet themed platformer metroidvania with a focus on platforming rather than combat. Throw your crystal scissors into walls to create your own platforms, explore a twisting and mysterious land, and solve puzzles on a worldwide scale.Explore a World of PuppetsIn this game you will uncover the forgotten lands of Terrastage. A once bustling place with puppets and marionettes all playing their part. But now, the world has fallen into rot and decay. The residents of the world have lost their will and now simply wander in aimless desperation.Solve Area Wide PuzzlesIn the age of prosperity, great structures were built in the world. Now these mechanisms block your path. Use your map to plan a way through the world and reach your goal. Cut the Threads of Your EnemiesUse your magic scissors to cut the strings of your foes and clear your path. As you progress, find upgrades that enhance your platforming and combat abilities to become unstoppable.",378
20,1989160,Super Indiemania Demo,"In stereotypical fashion, Super Indiemania is a game inspired by the 16-bit era of gaming (it's possible...that this has already been done before...) It is a 2D action side-scroller and mainly a linear experience. Keep moving forward to each new stage while fighting supernatural enemies/bosses, avoiding hazards, discovering items, and utilizing vehicles! The goal of the game is to progress to the last stage and defeat the final boss. The Demo version contains Stage 3.Early Access Features: 7 playable stages, for a combined total of 40 areas of varying size Example areas: a barren wasteland, mushroom jungle ruins, an underwater palace, evil forests, a castle...and more of course! Your main weapon is a whip with a multi-directional ability: attack horizontally, vertically and diagonally Discover a new sub weapon on each stage: Crystal Crosses, Mushroom Bombs, Throwing Leaves, etcetera Each sub weapon has a secondary use, e.g. the Crystal Cross can turn into a shield to repel enemies, the Throwing Leaf can be thrown at multiple angles Find hidden items, such as health, score, projectile ammunition and extra lives pickups in each area 50+ different enemies and 7 bosses to battle In certain areas, utilize vehicles such as minecarts, a mushroom-ship with a laser cannon, a super strong penguin and others Basic menus for starting, pausing and exiting game, with an options menu for adjusting master, music and sound effect volumes Completely original artwork and music Developed by one guy!Story:An Evil Nerd has created yet another 2D game...how surprising! To create his new world the Evil Nerd has stolen and corrupted the souls of many Indie Developers! Our hero is forced to play the game over and over until he is able to free the Indie Souls and defeat the Evil Nerd and his minions!Do you have what it takes to put an end to the Evil Nerd (and his unoriginal ideas) and destroy Castle Indiemania once and for all (or maybe not...)?",
21,1989190,Knight Story,"Black and white 2D platformer about a knight's journey.

The player can control the knight, jump, run, climb walls. The task is to kill all the enemies on the level in order to open the entrance to the next level.

The knight has two weapons, a sword for close combat and stars for ranged attacks. The number of stars is limited.

Also, by destroying plants, you can find an increase in life and be treated.

More than 20 levels and bosses are available.",868
22,1989200,Space Crafting,"Your ship crashed on an uninhabited planet, you need to get resources and repair the ship.

You need oxygen, for this you need to extract water and create oxygen bottles, then take the bottle and point it at the astronaut to replenish the supply of oxygen. If the oxygen runs out, you will die.

Collect various resources by moving around the planet with the left mouse button, find resources, mine, related to the ship and craft spare parts for the ship from them.

There are several types of resources, different parts of the ship need different resources growing on the planet, the player needs to look for these resources, mine them, and build spare parts for the ship from combinations of these resources.

When you collect all the parts of the ship, the game will end.

A light meditative game in which you can relax.",992
23,1989220,The MIR Incident (Alpha Demo) Demo,"Hijacked, locked up and reduced to a test subject for a secret laboratory.Tied to a laboratory bench and at the mercy of the upcoming experiment, the situation looks grim.However, an uprising of the neurogenetically altered apes offers you a way to escape.Battles between the test subjects and armed scientists rule the resulting chaos.There won't be a better chance for you to escape.It's up to you to cope with this chaos.Find equipmentSolve puzzlesDiscover secretsCraft itemsWatch out for ambushesOnly then will you be able to survive and escape.Note:The full version is scheduled for early 2023.Requests, ideas and other suggestions are welcome.It helps us to create a high quality product.Reporting bugs or improvements is also welcome.This also helps to improve the product.The full version contains:Open World6+ BiomesHundreds of various equipment itemsHundreds of charactersCrafting SkillsPermanent Companions And more ...",
24,1989230,The Elf Maiden,"PLEASE READ:The Elf Maiden is very bare bones at the moment.=============================================Elf Maiden is an isometric hack and slash RPG that implements WASD controls. As The Elf Maiden, you are able to wield any weapon at any time and custom tailor your play with no class restrictions. Dual wield any weapon out of the box as you see fit or hold any weapon in both hands for extra power. The Elf Maiden is a Single Player Action RPG.Explore a dynamically changing dungeon filled with danger, adventure, and loot!Complete and repeat dungeon instances for more loot and exp. Crush mobs, blow bosses up with cool builds and claim your prize!Customize your play with different weapons. Slice, Chop, or Bash your way with various different weapon classes in innate properties.Discover The Depths of Transmutation as the dungeons procedurally change with each run!",1
25,1989280,THE ILLUSION: NIGHTMARE,"THE ILLUSION NIGHTMARE Is a horror game made by professional crew In the art of horror.

You will have the opportunity to experience one of the most powerful types of psychological horror
Based on an environment designed in every detail to be a real hell that makes you afraid and terrified.


One day, a man named Martin was conducting investigations about a secret cult, he was exposed and arrested by Zorya.
He was imprisoned In the Nightmare which is Zorya's mysterious mansion surrounded with dark energy, ghosts and Illusions 

Martin has to pass a psychological and mental exam to be adopted into the mysterious cult, or to be forgotten in the world of Illusions
But the abandoned mansion is full of ghosts, evil forces and intricate puzzles where he will be punished by Zorya for every wrong decision.

The game begins when martin finds himself trapped in the nightmare mansion.
You have to help him escape by solving the puzzles in the twenty four main rooms,
Where you will get a key in each room allow you to enter the next room
Between The Rooms You Have To Cross Switch Portals, Loop Rooms, And The Big Maze
In every place of the game you will be attacked by ghosts and you will suffer from
Illusions and strange events that will happen around you.


Do you have the ability to challenge Zorya? 
Will you help Martin pass the Nightmare?
Or you will leave him imprisoned in the illusions world.",100
26,1989290,Ultimate Starfighter,"An unknown Alien Race has just launched a failed attack on Earth Station Alpha, and are regrouping near Mars! The Station was able to drive this wave off--however sensors indicate several enemy fleets entering the system. Earth Station Alpha cannot defend itself against all enemy ships at one time!Its up to you, now. Fight off the incoming fleets, discover where their ships are being constructed, and launch an assault that will put an end to their attacks once and for all! If Earth Station Alpha is destroyed, the planet will be lost and humanity exterminated. Your success will surely earn you the Title of Ultimate Starfighter! Good luck, we're all counting on you!14 unique enemies        Asteroids, Armed Asteroids,        Weapon Platforms,        6 Fighters, 4 Rifters, and 2 Bosses22 Levels (3 Acts each containing 6 Levels + Boss Fight) + Final Level        Asteroid / Platform Levels allow Horizontal and Vertical movement        shot accuracy multiplier        Bonus Items                4 unique special weapons                4 passive tech bonuses                4 powerup bonuseselectronic style soundtrack",18
27,1989310,Dragon Mine,"Dragon Mine is a game about gold miner who is trapped in the gold mine with unknown creatures: some are neutral, some are aggressive, some are annoying. Go through the numerous mazes and try to get to the cave full of gold waiting at the end, but remember - the journey won't be easy. Think fast and move precisely to get to the exit - any delay may result in the escape portal to be covered with mysterious water, blocking your way out.50 levels, 5 bosses and unusual ending are waiting for you. Some levels are straight-forward run-through mazes that will require speed and precision, some will utilize your outside the box thinking, as the obvious way may be the wrong one. There are places that might look unpassable, but there is surely a way out. Everything should be done fast, as the mazes are being flooded by a mystic water that will kill the player if he touches it, and there is a chance you will find the exit covered with the water if you are too slow in collecting the coins: in some cases even one lost second can decide if you pass the level or not.There are monsters in the mazes that are not happy to see you down there. Some of them will ignore you some will try to make your life harder in a passive way, and some are really aggressive. You can't kill anyone, but everyone can kill you. There are monsters that are always faster than player: you can't outrun them, however they aren't too clever, so you have a chance to outsmart them.This game will require all your concentration, it will make your hands shaking after each level completion, but nice ambient music will help you keep your rage away after you fail again and again. To pass to the new level you need to collect only 80% of all the coins in each maze (except for the bosses), however some achievements will stay unreachable for you till you collect everything (don't worry - the levels are built the way that there is guaranteed enough of time to pass them ideally).In case you have controlling skills and reaction of a super hero, the game is possible to complete in 90-100 minutes, but it is much more likely that it will take you up to 50 (or maybe even more) hours of intense gameplay to complete the game ideally and collect all the achievements.",525
28,1989330,Kingdom Chess Demo,"Kingdom Chess takes the world's most popular board game to a new level by expanding well known mechanics with countless variations. The game is still in development and currently offers single player campaign, local / online multiplayer, practice against bots and puzzles. Simple tutorials will guide you through the game mechanics, but there no explanation on how to play chess yet.

SINGLE PLAYER CAMPAIGN
Here chess meets open world and RPG elements. Gather your team and complete quests. It should take less than 2 hours to beat the game, but that depends on your previous chess experience. So far the single player campaign offers:
- 4 quests are available available: 1. Help the farmer to earn some gold. 2. Kill bandits for the innkeeper. 3. Rescue mission and 4. Boss fight.
- The village serves as a hub where you can find 3 types of NPC: mercenaries, merchants and quest givers.
- Through the crypt located behind the church players can access the underground area where fighting and looting takes place.

BATTLE
Play a single chess skirmish against computer, local or online opponent. Beside classic chess, there are 12 variants expanding the base game with:
- Up to 4 players online and local multiplayer (or practice against bot).
- 4 new game modes (capture the flag, domination, escape and elimination).
- 6 unique pieces (queen of ice, jester, elephant, kirin, cannon and phoenix).
- 10 diverse boards (from 6x6 to 20x20 with some including environmental obstacles).

PUZZLE
Extra section of the game located in ""Battle"". Over 1.5 million classic chess puzzles have been imported and 4 modes introduced. ""Bolt"", ""Fever"" and ""Survival"" encourage players compete against their own score. And ""Explorer"" allows to customize the experience by tweaking with ""time"" and ""lives"" options.",
29,1989350,Hype Hustle,"Looking for a fun new game to speed run? Is toy story one of your favorite movies? Are you a twitch streamer who's chat just like to see you suffer? Then do I have a game for you! Hype Hustle is a fast paced 3D platforming game where you play as a frustrated robot toy who just wants to rebuild his ship and leave behind his life in a suburban household. Twitch Chat Integration: Once connected events will be voted on by your chat as well as random effects altering the game from bits and subscriptions. This game was intended to be speed run during hype trains to boost chat engagement. General Randomization: Each run through the game will be randomized in order and locations of all the objectives / ability unlocks. No two runs should be exactly the same!Global / Friend Leaderboards: Times are automatically recorded and added to several leaderboards tracking the best runs. Due to the high number of interactions that twitch chat can cause, leaderboards are based off of overall scores that adjust based on the number of interactions.",0
30,1989360,Sargasso on Steam,"*Turn-based simulation to explore automatically generated dungeons.
A randomly generated map that provides a new thrill every time you play.
Strengthen expedition crew with the recovered supplies,  increase crew by  rescued victims, conquer a wider and more difficult map, and unravel the mystery of the demon's space.

*Stealth or hurry up ...
Tentacles search for prey by noise. But if you afraid and move slowly, you will soon lose your escape in a maze-like ship.
It's easy to shoot one, but the next tentacle may be approaching before your second shoot... Always choose your actions with great care.

*Help her? or abandon her?
A girl taked in a tentacle hide in the shadows has a more horrifying fate than death.
However, dispatching relief may only offer a new sacrifice ...
Is the rescue in time? Please judge calmly.",90
31,1989370,PsychoDive,"Inspired by the classic survival horror games of the 90's, PsychoDive turns the genre on it's head while retaining all the classic gameplay tropes we've come to love.You play the role of Lennox, a psychic with the ability to dive into people's minds and see what's inside. As expected, you will rarely go into someone's mind without seeing things you aren't supposed to. Inside you can see all repressed memories, trauma, and pain, but in physical form... at least to Lennox.You will dive into the minds of 4 characters, including the pilot of a plane you are flying on, a former supermodel, a dentist, and a little girl. Each one of them broken in one way or another and you must help them overcome their pasts. But be warned... it won't be easy.Greenfield Asylum is the hub world, where you can visit patients in their rooms and prepare them for a PsychoDive. Going into minds is tricky because you never know what to expect. There may be inner demons to fight, which shouldn't be too much a problem as long as you can find a weapon. There are also often traps to avoid, pitfalls to traverse, and jumping across platforms. It's all worth it if you can reach them though.Lennox - A reluctant but powerful psychic who keeps finding himself at the wrong place at the wrong time. He's a good person but also very stoic and prefers to be alone.Monroe - A detective for the city's special unit on supernatural elements. She can come off as carefree, but she is a no nonsense person who doesn't mess around.Dr. Amos - Head Psychologist at the asylum, he is very by-the-book and doesn't believe that psychic abilities are real. Though for the sake of science, he's going to observe what happens.Pilot - An airline pilot in the midst of a nervous breakdown. Unfortunately he's the pilot of the plane you are currently on...Selene - A supermodel at the height of fame when it all suddenly comes crashing down. Maybe she couldn't handle the pressure of looking good 24/7?Emily - Why is a full grown woman acting like a small child? Maybe the adult world isn't cut out for everyone.Dr. Patel DDS - Everyone hates going to the dentist... especially when that dentist has a criminal history of kidnapping and torture.",0
